Noise,Method,RMSE,Median absolute error
Normal,B-spline,0.02104447326662098,0.017010275940357755
Normal,Smoothing spline,0.06934781120737361,0.057163941343080005
Normal,Nadaraya-Watson,0.05776588672342881,0.03855221563932114
Normal,Local linear,0.037675555672095976,0.030258585619742817
Normal,B-spline,0.024418715609240457,0.02166803126701916
Normal,Smoothing spline,0.0702909793634307,0.0584171236067727
Normal,Nadaraya-Watson,0.06527624241744712,0.038937501672356906
Normal,Local linear,0.04747314103392352,0.030691948893389037
Normal,B-spline,0.05567375583077041,0.04410092181347658
Normal,Smoothing spline,0.06986898915068704,0.056978447896477824
Normal,Nadaraya-Watson,0.049085702454802996,0.02752849880892483
Normal,Local linear,0.05808395540683902,0.03763631980924326
Normal,B-spline,0.04702980108556254,0.03534695214447553
Normal,Smoothing spline,0.07673404473184203,0.04955784296559096
Normal,Nadaraya-Watson,0.056835724698102295,0.03244472308399732
Normal,Local linear,0.048614643937065195,0.03527672054239739
Normal,B-spline,0.04109564270997021,0.03764753705939375
Normal,Smoothing spline,0.08548004543073857,0.04651030000188039
Normal,Nadaraya-Watson,0.060087739965513816,0.031051571551451676
Normal,Local linear,0.03465930478843311,0.02633690705419954
Normal,B-spline,0.01956976826370776,0.009592413372584485
Normal,Smoothing spline,0.0708660803729276,0.06932097967094801
Normal,Nadaraya-Watson,0.08193222985484774,0.04029565684648728
Normal,Local linear,0.056576637063538965,0.038626307474158184
Normal,B-spline,0.04044162573555788,0.024611855301503005
Normal,Smoothing spline,0.07362109685546325,0.061923338347801046
Normal,Nadaraya-Watson,0.06975589960009845,0.02490139678340708
Normal,Local linear,0.03858290205091499,0.03472543916931156
Normal,B-spline,0.02874946948123063,0.016127123439524493
Normal,Smoothing spline,0.06873640421907616,0.061320598665512566
Normal,Nadaraya-Watson,0.07270286683903972,0.04964538100471194
Normal,Local linear,0.04097031400360965,0.03314159566853826
Normal,B-spline,0.03461799897408567,0.02448149991939086
Normal,Smoothing spline,0.07106052501863067,0.0637907978133947
Normal,Nadaraya-Watson,0.06250590564015411,0.03135963258746918
Normal,Local linear,0.0436073895313436,0.031878591371367726
Normal,B-spline,0.04221432028632503,0.029457727904476233
Normal,Smoothing spline,0.07094052360000679,0.05863119780675427
Normal,Nadaraya-Watson,0.046339122480260904,0.026605426964448453
Normal,Local linear,0.04029414767534241,0.03560562852845701
Normal,B-spline,0.025002551010503242,0.022679027950596453
Normal,Smoothing spline,0.0710563089384762,0.0628667870288313
Normal,Nadaraya-Watson,0.038962214195751375,0.028210742904910102
Normal,Local linear,0.05169288413049097,0.024956476421854223
Normal,B-spline,0.04187048717523642,0.02355223909404114
Normal,Smoothing spline,0.07269749762026001,0.05307690164365192
Normal,Nadaraya-Watson,0.05771858110132769,0.02484771428693429
Normal,Local linear,0.026563753320944898,0.018104963011438074
Normal,B-spline,0.01521564786231868,0.013539733706329854
Normal,Smoothing spline,0.06788909254418578,0.0627750336468541
Normal,Nadaraya-Watson,0.04183406021325247,0.019702145909098676
Normal,Local linear,0.02328994494432064,0.019974728487313687
Normal,B-spline,0.029302525486899544,0.020614938243338488
Normal,Smoothing spline,0.0732813425370822,0.049392935303433416
Normal,Nadaraya-Watson,0.049367469968243094,0.023224593113493675
Normal,Local linear,0.04105767975300089,0.037767050605328686
Normal,B-spline,0.02859306287450668,0.018483401800448496
Normal,Smoothing spline,0.06851836976832082,0.06125768280956789
Normal,Nadaraya-Watson,0.06865559309645541,0.04208639337132927
Normal,Local linear,0.04831446669381758,0.03193702297327185
Normal,B-spline,0.053364383382124174,0.017764170759168557
Normal,Smoothing spline,0.0773224871840803,0.06639704366223337
Normal,Nadaraya-Watson,0.07046029112508874,0.042797081073851495
Normal,Local linear,0.05309259081205626,0.04181639597539044
Normal,B-spline,0.0824107936097683,0.05264493246384924
Normal,Smoothing spline,0.07627981197850289,0.05836528361927151
Normal,Nadaraya-Watson,0.06150396592210578,0.03974556182765246
Normal,Local linear,0.05002948986342286,0.043729537407099534
Normal,B-spline,0.05994130683778333,0.04663249594517527
Normal,Smoothing spline,0.06968193747624478,0.058825184122178575
Normal,Nadaraya-Watson,0.06483041576023528,0.04762617821672181
Normal,Local linear,0.05232124953107185,0.04732824038289932
Normal,B-spline,0.03229742168979424,0.021398548581045507
Normal,Smoothing spline,0.07333920057685261,0.06634233024542371
Normal,Nadaraya-Watson,0.06108968587717143,0.04343935726296705
Normal,Local linear,0.04618326663458228,0.03450458421669228
Normal,B-spline,0.06970531907344162,0.047237218754156984
Normal,Smoothing spline,0.07068426822184838,0.05686621374989609
Normal,Nadaraya-Watson,0.05587385414961324,0.02761271586369468
Normal,Local linear,0.034202877435888825,0.020002208948868783
Normal,B-spline,0.016730540300281073,0.012013419908122769
Normal,Smoothing spline,0.06933403763021688,0.05696183181897632
Normal,Nadaraya-Watson,0.06700125859629592,0.05585788476115266
Normal,Local linear,0.06640803009304624,0.0547560019035693
Normal,B-spline,0.0408315684243692,0.033592729238430014
Normal,Smoothing spline,0.07422940945335141,0.05426172691690129
Normal,Nadaraya-Watson,0.06819287346470698,0.04301793862235985
Normal,Local linear,0.05539414189927753,0.040560426073560016
Normal,B-spline,0.03913514477747232,0.028837102056587533
Normal,Smoothing spline,0.07482587221117575,0.061706235166168966
Normal,Nadaraya-Watson,0.0632061793090143,0.032445513054287195
Normal,Local linear,0.0426101712282765,0.02471460671629019
Normal,B-spline,0.031676872354220134,0.021362475140955545
Normal,Smoothing spline,0.07070550607497385,0.0597058258406922
Normal,Nadaraya-Watson,0.0604930421709821,0.03451974309048861
Normal,Local linear,0.039868985490077634,0.02285603776503884
Normal,B-spline,0.0318816372671415,0.015499238279527594
Normal,Smoothing spline,0.0700985482616697,0.06553340950871245
Normal,Nadaraya-Watson,0.054442581073594065,0.03514464503444423
Normal,Local linear,0.037046344701111136,0.02682407135806749
