Function,Method,ISE,RMSE,Boundary RMSE,Time
Smooth periodic,Smoothing spline,0.005623280332342481,0.07498853467259166,0.11404257886053987,6.770000072719995e-05
Smooth periodic,Linear,0.20055530974731373,0.44783402031033076,0.6285724776051895,0.00040530000114813447
Smooth periodic,Polynomial,0.00661648981814005,0.0813418085497246,0.11451846032545529,0.0006701999991491903
Smooth periodic,Nadaraya-Watson,0.0038740055795318685,0.06224151010002785,0.10018787293504386,0.00021360000027925707
Smooth periodic,Local linear,0.0016612188699515972,0.04075805282335746,0.028124627632492356,0.0041168999996443745
Smooth periodic,Local quadratic,0.0016669885823592501,0.04082877150195987,0.040425107288332505,0.004509200000029523
Smooth periodic,B-spline,0.001741293811853517,0.04172881272997732,0.029875410407272058,0.0008428000001003966
Smooth periodic,Smoothing spline,0.006616489818140585,0.08134180854972789,0.11451846032546169,6.690000009257346e-05
Smooth periodic,Linear,0.20970735734705898,0.4579381588676128,0.4679871131769561,0.0004578000007313676
Smooth periodic,Polynomial,0.005143948668620578,0.07172132645608681,0.08157640791403606,0.0007703999999648659
Smooth periodic,Nadaraya-Watson,0.0035620256725605506,0.0596827083212596,0.07343948937752809,0.000252800000453135
Smooth periodic,Local linear,0.003056749954031892,0.05528788252440034,0.02938837557436309,0.004007700001238845
Smooth periodic,Local quadratic,0.0010511102252070384,0.032420830112861676,0.01886483875947394,0.004600300000674906
Smooth periodic,B-spline,0.0014139245953493683,0.03760218870424125,0.020412631965066028,0.0009483000012551202
Smooth periodic,Smoothing spline,0.0051439486686207314,0.07172132645608788,0.08157640791403506,9.850000060396269e-05
Smooth periodic,Linear,0.20420252548481668,0.4518877354883807,0.701471317103256,0.0004659000005631242
Smooth periodic,Polynomial,0.005287375608941921,0.07271434252568004,0.093231156714719,0.0007064000001264503
Smooth periodic,Nadaraya-Watson,0.002906946548392091,0.05391610657671871,0.11095276929818809,0.0002372999988438096
Smooth periodic,Local linear,0.0007372046463464935,0.027151512781914997,0.05081427583736111,0.004128799999307375
Smooth periodic,Local quadratic,0.0006991423854688347,0.026441300752210257,0.04511114649870411,0.0038451000000350177
Smooth periodic,B-spline,0.0010021566964126271,0.03165685859987733,0.04876759998090131,0.0007975999997142935
Smooth periodic,Smoothing spline,0.005287375608941988,0.0727143425256805,0.09323115671471814,6.649999886576552e-05
Smooth periodic,Linear,0.20087461233851783,0.44819037510696036,0.6214153733213519,0.0003400000005058246
Smooth periodic,Polynomial,0.0055138759339916086,0.07425547746793908,0.08653559188149176,0.0007208999995782506
Smooth periodic,Nadaraya-Watson,0.0035445985083764485,0.059536530872872064,0.10066191625833433,0.00021550000019487925
Smooth periodic,Local linear,0.0016299129598603911,0.04037218051902066,0.03589507519309598,0.003591700000470155
Smooth periodic,Local quadratic,0.0017111909637054985,0.04136654401452336,0.04182204198549599,0.0038741999997000676
Smooth periodic,B-spline,0.00171590690959349,0.04142350672738234,0.03683147734204128,0.0007746999999653781
Smooth periodic,Smoothing spline,0.005513875933991792,0.07425547746794031,0.08653559188149193,7.079999886627775e-05
Smooth periodic,Linear,0.20028769747907454,0.4475351354687971,0.6292364250892005,0.000377200000002631
Smooth periodic,Polynomial,0.004769581202919704,0.0690621546356592,0.0863112458899472,0.0006730999994033482
Smooth periodic,Nadaraya-Watson,0.0027048956478799235,0.05200861128582385,0.09530827370777252,0.00020349999977042899
Smooth periodic,Local linear,0.0011848724239092586,0.034421975886187284,0.03981831972068272,0.003621599998950842
Smooth periodic,Local quadratic,0.0005903440952334352,0.024296997658835036,0.028961125366607467,0.003869500000291737
Smooth periodic,B-spline,0.0007398606551568851,0.027200379687733867,0.036446136526905586,0.0008197999995900318
